pr_gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC47A1,51.6753179255342,-1.75299469374017,0.5869741678612459,-2.98649376705545,0.00282196590831229,0.0710490388115654
TSPAN1,6423.39166967112,2.8850978395317,0.622238037026639,4.636646536939661,3.54107181934149e-06,0.00208026165813582
MAN2B1,3078.44976517938,-0.7056032320559029,0.257267434414106,-2.74268382884458,0.00609393295626265,0.105995394450804
FSTL3,3033.3311623447603,-1.33699337844034,0.5210302272669529,-2.56605722369217,0.0102861857111338,0.14245780872841102
COG7,633.681437443182,0.483994542574865,0.19256059445247697,2.51346618424733,0.0119551238606878,0.153234256669645
TLR7,109.04246609526699,-1.79746406929578,0.629999601741306,-2.85311937392917,0.00432923555179916,0.0892379501343957
KCNMB2,128.47617888655898,2.31228825863988,1.05817940733445,2.18515711287987,0.0288773288440928,0.235399650114843
KCTD14,364.74291058589796,1.26218897586353,0.5669879012885101,2.22613035127405,0.0260054514779862,0.223679881331395
RASL11B,147.103041512677,-1.2083659725282099,0.529828709889116,-2.2806728853578,0.0225678108058023,0.211202165082904
MGAT1,4121.61398163012,-0.45261121150553396,0.20071780044551502,-2.25496299033227,0.024135651916012,0.21702384151418105
HIST3H2A,58.8698310896522,1.54696235673659,0.7190963503977809,2.15125880680782,0.0314557777059252,0.242403422076618
EPHA4,509.130925477611,1.31447259377604,0.5320761707584399,2.47045943046527,0.0134939623893431,0.16389909934513
EPHA2,4043.3921781502295,1.8612407921044298,0.598333055738668,3.11071028794598,0.00186637952198374,0.0583210508784424
LIMD2,692.2540528080499,-1.9306579250395102,0.575641342623463,-3.35392506076895,0.000796739375581896,0.0377465988044498
MNAT1,218.66910706901797,0.5697431479560351,0.233038840110212,2.44484201726452,0.0144915605143864,0.17060738978326404
GLB1L2,463.36556679990997,1.49750916131433,0.526667492038483,2.8433673692639907,0.00446395841838772,0.09042850938582199
SEMA3G,330.078967878745,-1.18592856848708,0.540856537383815,-2.19268602025881,0.0283300086486761,0.23320320991324897
ARHGAP11A,261.959908522585,0.9511306126015151,0.40016442996473106,2.37684946831817,0.01746121232146,0.18595072383157701
NAGK,1212.78109618151,-0.788211836201109,0.19758138459551502,-3.9893021187938302,6.62679748991843e-05,0.0103232925027871
CYP3A5,2019.1913642295603,2.04385044163816,0.7213100767842341,2.83352542466912,0.00460376455799197,0.0912341618542529
CREB3L1,3470.80481661802,1.36659575237043,0.5840330232359939,2.3399289047020497,0.0192874110703296,0.19502084492454896
MMP1,6662.022763341701,3.49046189674957,1.07511110664489,3.24660574630495,0.0011679005198589301,0.0452375357406458
PVRL3,231.56976706224097,1.1615787258884198,0.494060226754945,2.35108730269148,0.0187186414061611,0.19191235377672103
AHCYL2,1615.51653261086,1.14209995083887,0.475361252494864,2.40259370077962,0.0162792633788504,0.180569086971512
GYPC,690.835959462045,-1.03833947808811,0.433882710268581,-2.39313402796198,0.0167051375273128,0.18170716720390398
MANSC1,1229.65783942735,1.2737906975786202,0.351172265404182,3.6272531263610697,0.000286452441605554,0.0227407109498031
LMO7,4807.086887329539,1.02452457217003,0.43769459884636897,2.34072930045372,0.0192461159266084,0.19493882016698102
TRPV2,548.196871406401,-1.07969610089253,0.4098302379756629,-2.63449594696975,0.008426230979495459,0.127690365247316
CYP2J2,185.60229317677602,1.20034640451251,0.541524326385185,2.21660661585627,0.0266499850901243,0.226362475416667
CLCA4,6.9713020744357,5.3129811214129194,1.54947776503381,3.4288850355313096,0.000606066190498943,0.0332927156666228
CIITA,551.8983508214981,-2.05191545240198,0.534929473436866,-3.83586164960894,0.000125124833771739,0.0143491049053928
ASPH,5285.90615043979,1.01515887928136,0.42984301187460994,2.36169683172025,0.0181915120093212,0.18959621978254101
LSP1,1682.89491061763,-1.56297400777938,0.510861752855208,-3.0594852698286896,0.0022171769056454,0.0637447402693222
C1GALT1C1,672.276835648119,0.496754249384431,0.197318246810302,2.51752819323396,0.0118181510818646,0.152611691004075
HMOX1,867.058443567753,-1.9705981476135501,0.436006322264845,-4.51965498430673,6.194048989884961e-06,0.00260553441741872
IGSF6,148.79224345338199,-1.31051803548059,0.5855286904401179,-2.2381790284187795,0.0252093826821409,0.221348412437197
AQP5,1634.7781545338,4.1527254988090405,0.9890646644983829,4.19863902519978,2.685239746199e-05,0.00639522503878528
ITGB4,11927.2663461731,1.77096621673987,0.602224294286087,2.94070869199868,0.00327462333104628,0.0770081815989717
LCP2,486.916446758166,-1.32516946171627,0.48320823500195703,-2.7424397303802204,0.0060984640248022606,0.105995394450804
LCP1,3200.6367780255396,-1.90092620927039,0.568862389113455,-3.34162751071115,0.000832887507670184,0.0378930799398034
FGR,388.94881815634903,-2.13531773805608,0.516669608086814,-4.132849512792109,3.58293329046372e-05,0.008200729391056179
LBH,3250.06235586081,-0.7443894652374059,0.346946090197219,-2.1455479288273898,0.0319090636266752,0.243832572185547
ATP1B1,11803.4831726549,1.1447160822706,0.43435255745679796,2.63545376358111,0.00840248723843212,0.12744013346826802
TESK2,101.660860348647,-0.6830012496069771,0.28729417669857504,-2.37735848827724,0.0174371322578071,0.18595072383157701
OSBP,1861.0526266820898,0.40781606562465206,0.164201673941766,2.48362916062161,0.013005116225961,0.16073083335647698
SNX2,1296.9982694760301,-0.438504693714154,0.169989572472048,-2.57959760317804,0.009891550154222141,0.139389549907595
SNX1,2339.43678900617,-0.34644898643819705,0.130400574544241,-2.65680567473771,0.007888489975256591,0.122167616277612
ITPKA,200.112888635448,1.9193835432651,0.7938129748881679,2.41792916465683,0.0156091150917347,0.176682751687047
ITPKB,881.7523637800771,-0.800345294972229,0.33524698469941805,-2.38733033106865,0.0169712344770302,0.183160463210765
MGEA5,2945.2460333764,-0.471959846534071,0.18293264459568698,-2.5799651427834798,0.009881028832948759,0.139389549907595
TMED2,5548.8688264536095,0.495591077083392,0.21823032134283302,2.2709542561908,0.0231497472537255,0.214142247100601
MMP28,1225.47048533392,1.55556952952712,0.6313586527958011,2.46384447673077,0.0137455739879706,0.165306020222556
FABP6,53.1984478477959,5.22440504988031,1.3550300576426202,3.8555639562485804,0.000115463137965776,0.0138246424817755
FABP5,133.829142846816,-0.947048552625114,0.39301817448971993,-2.4096813178035,0.0159664601676567,0.179117055375418
ENAH,1955.56662170363,-0.668262508054917,0.302028794084239,-2.21257880422001,0.0269266976673401,0.227823389193088
ASL,1474.2924986570902,0.960564343686671,0.35516614025015103,2.7045493216502203,0.00683971150716941,0.11256038007011199
OPRL1,64.77252159175471,-1.1229667151870801,0.37974441887810295,-2.9571645016000896,0.00310482425765675,0.0751667982086869
ASAH1,3513.02589156284,-0.561442695464037,0.24472038580531896,-2.2942211929605203,0.0217777965765633,0.20797860046864897
PRR7,90.25234138637741,1.64775387036181,0.7010092596996661,2.35054508562092,0.018745936493468996,0.19208045625633602
ABCB6,459.543238300681,0.762469270167838,0.318512751715332,2.39384221216138,0.0166729196889935,0.181609107910273
HMGA1,5249.32944718227,1.39527790445867,0.562086330097729,2.48231958285853,0.0130530149179569,0.160759143895229
SUPT7L,911.014835530416,-0.32786487862325603,0.1223073572442,-2.6806635840282103,0.00734763420643583,0.11761553610738
HCK,535.758602903005,-1.6908916425911498,0.4862281609427871,-3.47756830725836,0.0005059841092331309,0.030435030515784
PLA2G4C,187.044295804675,-1.10341619246569,0.429851543697443,-2.56697040790981,0.0102591367150795,0.142255724206578
EML2,1301.7272159163401,0.8680852636247371,0.31575781926134994,2.7492122464471094,0.00597386897059474,0.10461563181921901
HLA-DPB1,5535.47393153689,-1.2488854157882598,0.49122997028632104,-2.54236404806558,0.0110105425910093,0.147678693016704
CETP,38.1088601252034,-2.62770081657902,0.790885695352528,-3.32247862367489,0.000892215073010395,0.038885715071593
PLCB2,610.568988745317,-1.7034189134066902,0.5387378450985589,-3.16186978305758,0.0015675964624214,0.0530635710090959
TRPM4,1747.24758370927,1.09627739946709,0.48644325005377703,2.25365939263396,0.0242176038286238,0.217102723678932
HERC1,1231.23613150649,-0.736709486424615,0.284977561071824,-2.58514910315672,0.00973368940731741,0.13789914960977698
CCR1,225.48493552918498,-1.3306475156233402,0.536049821759984,-2.48232060082493,0.0130529776246332,0.160759143895229
STK39,1554.7454426341199,0.9667401711383841,0.350506262852145,2.7581252422476297,0.00581339201515357,0.10369961627031
BCAS1,1772.4189940142103,2.6230110234487998,0.808667135092808,3.2436226348530495,0.0011801999295974,0.0454145055878266
CD83,366.290239623018,-1.4207084220351598,0.5088962651029689,-2.7917446431792903,0.00524247105722366,0.0978742689751163
CD82,2648.44550277246,0.840671573741391,0.37185732341674893,2.2607369031138598,0.0237755538487428,0.21537832292777803
CD84,136.312764238502,-1.56112381957486,0.69101990314689,-2.25915898003159,0.0238734974171825,0.21570389607445198
CD86,321.899777478569,-1.2397153118664699,0.519487575863439,-2.38641955932429,0.0170133288940074,0.18350239193879198
ZBED2,119.88890424908399,2.5036399615241702,0.9905180343595551,2.52760664084522,0.0114842941069029,0.151156982330139
EFNA5,648.2709604000689,1.20805862129184,0.47300069169183395,2.55403140526253,0.0106483651659996,0.145252931645184
EFNA3,329.903927420376,2.3145188704181296,0.7035900354235489,3.28958449365308,0.00100335426868627,0.0414124487853088
TM4SF5,434.13330265016504,2.78569834180223,0.9446671602415609,2.94886755784958,0.00318940625601322,0.075853146955175
CD8A,270.298255783069,-1.8916249994328502,0.6672467965165861,-2.8349705226135598,0.00458299141705525,0.0912341618542529
LRP2,3.59591874170793,3.63510596900527,1.5164791132335902,2.39706959184826,0.0165267845126045,0.18142325553320499
GALNT12,1099.028290883,1.5902933291951102,0.496920886689234,3.2002947990182995,0.0013728708849375,0.0503024458963377
CDS1,901.901122745376,1.37203031597563,0.39133533471185,3.50602205902488,0.00045485752108917303,0.0288436805202906
RUNX3,422.551230111759,-1.55664644396869,0.5849935530978969,-2.66096341699032,0.007791742234207971,0.121235168060511
HLA-DOA,1000.3958155509,-1.58025024988992,0.574585905922678,-2.75024192831937,0.00595512795290115,0.10453503490232101
S100P,6286.01319377474,3.34564028564004,0.949708708190289,3.52280678990013,0.000427002523677569,0.0287232537301278
SSH3,1368.87068679199,0.9083783689187149,0.37050704026272996,2.45171689119476,0.014217647408517001,0.16816900532060697
MAP7,855.140121415944,0.7711898301386481,0.36223642411378704,2.12896820640102,0.033256890936414,0.24871117937109302
PTPN22,153.597121697528,-1.27483289797282,0.5318570052060171,-2.39694670840898,0.0165323279837907,0.18142325553320499
WFS1,1801.86459948682,1.05900976111475,0.44982992006162703,2.35424482428752,0.0185603821702786,0.19124021306941602
OVOL2,209.770335464926,1.61052476443394,0.5050923311789091,3.18857496940193,0.00142975930090786,0.0511209730058933
ANKMY2,478.89258109018897,0.4512260454250979,0.185189323000707,2.4365662021636902,0.0148274550453142,0.17265874235321998
MYCBP2,1490.5791189701001,-0.727193119285288,0.32984416434855496,-2.2046566163191,0.0274781996259634,0.22995051766760602
HK3,205.47345664596298,-2.40402166650522,0.687796914518217,-3.49524927454664,0.00047361919765783606,0.0291855410472787
CACNA2D2,367.46558161383797,1.99800654512366,0.939419595516979,2.12685210597946,0.0334323733340057,0.24903302943301603
TNF,30.8326262996972,-1.7244871550346899,0.6753249989656981,-2.55356629426698,0.0106625978426258,0.14533458961982698
ZNF804A,9.47655545011836,-1.37333528853457,0.5206595093789039,-2.63768405992012,0.008347431185486429,0.127260742742612
PIK3R5,307.62815288932,-1.6779637647716201,0.56109998979373,-2.9904897438841003,0.00278530482548636,0.0707775890499713
PTPRN2,2344.6702179742897,1.7490433406068302,0.7547589126152601,2.3173536759524302,0.0204844735941741,0.20034315350928103
NAIP,54.4442919812642,-0.9942527869561899,0.444038464307392,-2.23911410131331,0.0251484929803185,0.221166187767033
DENND5A,1124.1960491795699,-0.6880394404255861,0.290944349906619,-2.36484895013916,0.0180374259633021,0.18888389493597002
POLD2,1589.3014319647198,0.638636211273719,0.291302836156712,2.19234463934348,0.0283546307837406,0.233236186459602
CECR1,1434.7179544918301,-1.39072719505849,0.5535437205484239,-2.5124071386459303,0.0119910658765341,0.153343279535138
ARL6IP5,3622.14940543368,-0.45614728223860396,0.209685334077225,-2.17538953902522,0.0296009377555211,0.23810448516809898
TLR4,445.668243039579,-0.994428640075368,0.438551755307831,-2.26752858252124,0.0233579548809934,0.214781053196494
ID1,2134.9576487738395,1.40388287683579,0.5652315273059,2.48373066436546,0.0130014101583224,0.16073083335647698
MSN,9684.01088212259,-0.7907748883095491,0.353587370110687,-2.2364342031278,0.0253233427857516,0.221749046183909
UBA7,1345.62660781683,-0.7135829268083019,0.297026732871433,-2.4024198761839197,0.0162870020960636,0.180569086971512
SIGLEC7,68.1801882711032,-1.73936285740819,0.554920313518527,-3.1344371705904703,0.00172184122302172,0.0556802380083206
LAPTM5,6072.92674310342,-1.5522605930198299,0.488960554455026,-3.17461312344491,0.0015003639506047301,0.0522053348881972
NT5DC3,378.34130435766997,1.11325253277052,0.478716989980693,2.32549200481774,0.020045666938393002,0.19836318591928
ABCD2,16.7374601329801,-1.63041299741404,0.7356487068033349,-2.2162928886245,0.0266714497494645,0.22642467744921102
C2CD2,631.194023253692,-0.8292439966932991,0.243758475713501,-3.40190836140583,0.0006691707199061059,0.0353097747533689
SIRPA,1578.37599960079,-0.8976171930864442,0.37116137526940995,-2.4184014094540496,0.0155888693496511,0.176566988058002
PI3,799.117604926792,3.7871160067685,0.9513969540675781,3.98058454000422,6.87460099080678e-05,0.0103232925027871
LILRB5,85.98903336590391,-2.53848545653975,0.7013701172124,-3.61932365557429,0.000295374017635622,0.0230339455168593
LILRB2,180.785690663353,-1.78699562008346,0.5609518711932591,-3.18564873717624,0.00144429840533796,0.0514228587791437
LILRB1,147.88073505103202,-2.24558111537346,0.584691508174823,-3.84062549904868,0.000122721213396031,0.0143491049053928
TNFRSF21,5067.7231272134795,0.8858239235155079,0.386195825352307,2.2937169833656696,0.0218067605756562,0.20807923572569798
KCNH6,49.10720663775821,2.44104738085889,1.13035584452689,2.15953886793994,0.0308083852955006,0.241338255940576
KCNH2,526.1586939631201,1.7947245784363202,0.8322095471401909,2.15657773286033,0.0310385810644419,0.241338255940576
FOXM1,582.593094847856,1.67450542620978,0.591310376188006,2.8318553058459703,0.0046278785478825295,0.0912341618542529
WBSCR22,1668.87918243095,0.700666851528926,0.28275865539639694,2.4779678293018703,0.0132133058468781,0.16194110030972197
PTTG1,319.681054652145,1.1666935788871298,0.483971328064844,2.41066673009773,0.0159233913367151,0.17874767447023399
NOL3,612.372734533792,0.955441319185707,0.38587876515715896,2.47601424451687,0.0132858277392971,0.162538393504985
CDC40,501.508899859142,-0.470770010000756,0.210410132231541,-2.23739230144444,0.0252607112604104,0.221600186786199
BIN2,240.10477480961003,-1.69931279396642,0.533693376859084,-3.18406198699202,0.0014522391023964,0.0514945705910444
CDCA3,159.827024873665,1.3119105986273798,0.50466641356789,2.5995599535789102,0.00933433716222445,0.135621070195419
HLA-DMA,2142.8078107460897,-1.03740674555593,0.42843778179984204,-2.4213708258824704,0.0154620952520098,0.17597157900872498
FADS3,394.570485021799,-1.2215483551203101,0.341809218736362,-3.5737724091710095,0.000351874804579943,0.0260564771257013
ESRP2,1032.70916474524,0.906560776014,0.35635777752548503,2.54396236924889,0.010960289162515,0.147341064988684
ESRP1,1850.9909928734698,1.57310261559102,0.462877961552546,3.3985256293357597,0.0006775011479596889,0.035380739528448994
PRRG1,406.140157144055,0.769164129677831,0.35856954095575505,2.14509053844242,0.0319456087821395,0.243832572185547
RHBDL1,76.3853271690939,2.54546655228094,0.7022279743951421,3.6248435623395,0.00028913641792076804,0.0227488403099805
CD300A,352.608077264867,-1.68925972256356,0.430528471556799,-3.9236887550204598,8.720338286459051e-05,0.0120455193991676
MSL3,573.280024660045,-0.8165276724692991,0.19946227634472602,-4.093644610062061,4.24645025452625e-05,0.00878928548613634
